model,step,math500_pass1,aime24_avg64,aime24_pass64,aime25_avg64,aime25_pass64,lcb_code_generation,lcb_code_execution,lcb_test_output,lcb_total,lcb_mean,source_root,lcb_summary
V14-R6-Qwen25-1_5B-step50,50,46.8%,1.7188%,26.6667%,0.7292%,23.3333%,15.00,30.06,5.66,50.72%,16.91%,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step50,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step50/code_lcb_V14-R6-Qwen25-1_5B-step50/20260519_053104/summary/summary_20260519_053104.csv
V14-R6-Qwen25-1_5B-step100,100,50.2%,2.1875%,26.6667%,0.4688%,20.0000%,15.00,29.23,3.17,47.40%,15.80%,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step100,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step100/code_lcb_V14-R6-Qwen25-1_5B-step100/20260519_044304/summary/summary_20260519_044304.csv
V14-R6-Qwen25-1_5B-step150,150,48.0%,2.0833%,23.3333%,0.7292%,23.3333%,14.75,29.85,2.49,47.09%,15.70%,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step150,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step150/code_lcb_V14-R6-Qwen25-1_5B-step150/20260519_053311/summary/summary_20260519_053311.csv
V14-R6-Qwen25-1_5B-step200,200,49.0%,2.3958%,36.6667%,0.5208%,13.3333%,15.50,30.48,7.92,53.90%,17.97%,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step200,/zhdd/home/tjshen/260415_ArcherA100/v14/eval_results/round6_step200/code_lcb_V14-R6-Qwen25-1_5B-step200/20260519_052837/summary/summary_20260519_052837.csv
